TDB企業コード,企業名,所在地,TDB産業大分類,決算期年,決算期月,従業員数,資産合計,流動資産,当座資産,現金.預金,売掛金,棚卸資産,その他流動資産,固定資産,有形固定資産,負債純資産合計,負債合計,流動負債,支払手形,短期借入金,長期借入金,純資産合計,株主資本,利益剰余金,営業収益,営業費用,売上原価,売上総利益,販売費及び一般管理費,役員報酬,給料手当,役員賞与,賞与,減価償却費,営業利益,営業外費用,経常利益,税引前当期純利益,当期純利益,ops
580124234,ホソカワミクロン　株式会社,27210_大阪府枚方市,F_製造業,2012,9,355,33861000,12533000,9897000,2831000,6003000,1666000,1005000,21328000,8080000,33861000,11547000,6436000,1381000,NA,3174000,22314000,22421000,4002000,15459000,13807000,9441000,6017000,4366000,112000,1508000,NA,NA,214000,1651000,78000,2111000,1431000,954000,10.6805537585716
580252261,エスペック　株式会社,27127_大阪府大阪市北区,F_製造業,2012,3,857,35366000,23180000,19381000,5647000,7733000,1420000,2375000,12185000,7157000,35366000,7522000,6117000,534000,NA,NA,27843000,28351000,14642000,24582000,23435000,16347000,8234000,7088000,NA,1859000,NA,NA,159000,1146000,30000,1608000,1592000,1736000,4.66213742321305
580013182,オーミケンシ　株式会社,27128_大阪府大阪市中央区,F_製造業,2012,3,235,35544000,5932000,2724000,1130000,1205000,2333000,880000,29612000,25215000,35544000,23900000,11457000,991000,8516000,2411000,11644000,11640000,3914000,12832000,12285000,10210000,2621000,2075000,NA,564000,NA,NA,19000,546000,444000,202000,205000,604000,4.25531914893617
580002204,近畿車輛　株式会社,27227_大阪府東大阪市,F_製造業,2012,3,691,35623000,22917000,12846000,9577000,3220000,8554000,1515000,12706000,7524000,35623000,9377000,6689000,NA,NA,NA,26246000,25911000,17629000,22072000,20541000,17962000,4109000,2579000,314000,438000,NA,93000,58000,1530000,84000,1908000,2039000,1190000,6.93217344026098
580003051,テイカ　株式会社,27128_大阪府大阪市中央区,F_製造業,2012,3,471,38080000,23453000,15217000,4777000,9136000,7852000,380000,14626000,8520000,38080000,13576000,8698000,403000,NA,2251000,24503000,23167000,7084000,29338000,26259000,21855000,7483000,4404000,229000,522000,NA,NA,67000,3078000,189000,3117000,2776000,1594000,10.4915127138864
580239232,株式会社　ソフト９９コーポレーション,27128_大阪府大阪市中央区,F_製造業,2012,3,195,39093545,10801023,9220914,7303448,1178163,1387244,195141,28292522,16172322,39093545,2363610,1412163,NA,NA,NA,36729934,36383584,31287337,10785275,9654593,6051930,4733344,3602663,159003,892150,NA,NA,127058,1130681,35930,1663210,1614737,1046526,10.4835630508784
570004902,モリ工業　株式会社,27128_大阪府大阪市中央区,F_製造業,2012,3,404,40144000,24886000,15030000,1483000,8800000,8201000,1782000,15258000,11228000,40144000,16083000,12123000,2650000,550000,1825000,24061000,23962000,8932000,40160000,37707000,33056000,7104000,4651000,NA,685000,NA,NA,76000,2452000,187000,2515000,2499000,1601000,6.10557768924303
580010538,中外爐工業　株式会社,27128_大阪府大阪市中央区,E_建設業,2012,3,418,41114000,30451000,28939000,9067000,17311000,855000,666000,10663000,5374000,41114000,19375000,17487000,1403000,2900000,727000,21739000,20490000,12573000,33593000,31956000,28155000,5438000,3801000,330000,1647000,NA,NA,270000,1637000,58000,2064000,2045000,1249000,4.87303902598756
580040789,三共生興　株式会社,27128_大阪府大阪市中央区,G_卸・小売業，飲食店,2012,3,86,41233000,8322000,5073000,3791000,1282000,725000,2674000,32911000,11717000,41233000,15386000,10096000,NA,7164000,1057000,25847000,22481000,18550000,10395000,8792000,5865000,4530000,2927000,176000,485000,NA,137000,214000,1602000,166000,2046000,2531000,1760000,15.4112554112554
580000667,株式会社　鶴見製作所,27124_大阪府大阪市鶴見区,F_製造業,2012,3,724,44260000,21200000,15766000,1459000,8650000,4497000,965000,23059000,10016000,44260000,9855000,7683000,NA,NA,5e+05,34404000,34345000,23650000,30522000,28711000,22573000,7949000,6138000,105000,2558000,NA,NA,101000,1810000,134000,2065000,2148000,1199000,5.93014874516742
580057801,松本油脂製薬　株式会社,27212_大阪府八尾市,F_製造業,2012,3,392,45583000,32394000,27729000,17419000,6914000,3098000,1567000,13188000,4719000,45583000,8032000,7610000,NA,700000,NA,37550000,37997000,27136000,26700000,25401000,21649000,5050000,3752000,187000,589000,NA,NA,32000,1297000,184000,1543000,1082000,586000,4.85785984493801
580355652,株式会社　フジシールインターナショナル,27123_大阪府大阪市淀川区,H_金融・保険業,2012,3,22,46544306,8102714,3272453,3272453,NA,NA,4831117,38441592,163176,46544306,6751487,4917267,NA,600000,1759955,39792819,39707303,30506733,4251869,1160808,1157,4250711,1159651,122081,148237,NA,NA,38172,3091060,63408,3111069,3101030,3000605,72.6988702377402
