TDB企業コード,企業名,所在地,TDB産業大分類,決算期年,決算期月,従業員数,資産合計,流動資産,当座資産,現金・預金,売掛金,棚卸資産,その他流動資産,固定資産,有形固定資産,負債純資産合計,負債合計,流動負債,支払手形,短期借入金,長期借入金,純資産合計,株主資本,利益剰余金,営業収益,営業費用,売上原価,売上総利益,販売費及び一般管理費,役員報酬,給料手当,役員賞与,賞与,減価償却費,営業利益,営業外費用,経常利益,税引前当期純利益,当期純利益
10038137,株式会社　キムラ,01103_北海道札幌市東区,G_卸・小売業，飲食店,2010,3,144,8945238,4127884,3047206,1741041,1049881,707095,391236,4817354,3283242,8945238,3205663,1597364,451022,,399082,5739575,5645730,4148575,10270261,9898526,8387075,1883186,1511451,57951,646042,,,28924,371735,93380,366070,363145,179674
10038137,株式会社　キムラ,01103_北海道札幌市東区,G_卸・小売業，飲食店,2011,3,137,9116741,4354546,3221984,1859647,1092949,765882,383668,4762194,3246576,9116741,3150047,1753353,486526,,208919,5966694,5869059,4372164,11193144,10669617,9121229,2071915,1548388,70830,652347,,,29591,523527,83754,536207,526047,312628
10038137,株式会社　キムラ,01103_北海道札幌市東区,G_卸・小売業，飲食店,2012,3,135,9121065,4418637,3534502,2181457,1128283,705314,192843,4702428,3469630,9121065,2853769,1613436,467933,100000,120000,6267296,6128260,4632101,11109008,10526979,8973900,2135108,1553079,55440,665187,,,25590,582028,85069,603953,665978,378648
10041203,株式会社　クワザワ,01104_北海道札幌市白石区,G_卸・小売業，飲食店,2010,3,350,21780000,14177000,13182000,796000,4100000,717000,306000,7603000,2279000,21780000,17126000,13466000,7971000,,1925000,4654000,4612000,3886000,56799000,56658000,53271000,3527000,3387000,1584000,,,,113000,139000,144000,174000,-539000,-614000
10041203,株式会社　クワザワ,01104_北海道札幌市白石区,G_卸・小売業，飲食店,2011,3,336,20640000,13262000,12508000,1686000,4658000,595000,208000,7377000,2271000,20640000,15701000,12394000,6912000,,1682000,4938000,4896000,4170000,52496000,52194000,48894000,3601000,3300000,1562000,,,,95000,300000,146000,345000,298000,326000
10041203,株式会社　クワザワ,01104_北海道札幌市白石区,G_卸・小売業，飲食店,2012,3,343,22296000,14642000,13842000,914000,4482000,716000,93000,7654000,2231000,22296000,16979000,13707000,7780000,,1595000,5317000,5254000,4539000,56511000,56071000,52664000,3846000,3407000,1647000,,,,66000,439000,129000,499000,421000,410000
10045721,株式会社　北弘電社,01101_北海道札幌市中央区,E_建設業,2010,3,195,7051683,5413894,5108528,1332348,506024,138710,169151,1637789,1161427,7051683,3109787,2234769,260116,,,3941895,3940743,2425442,11721042,11338634,10343049,1377992,995585,50082,490186,,,36093,382407,750,405371,403551,433639
10045721,株式会社　北弘電社,01101_北海道札幌市中央区,E_建設業,2011,3,205,6632416,5000197,4650401,2149871,298669,134066,218225,1632218,1221205,6632416,2500227,1701807,295461,,,4132188,4125843,2622796,9821713,9468197,8505372,1316340,962825,64827,458160,,,39383,353515,1848,370804,319912,216540
10045721,株式会社　北弘電社,01101_北海道札幌市中央区,E_建設業,2012,3,200,6813200,5221370,4977615,1750358,295278,99453,146798,1591829,1214404,6813200,2581552,1851987,348212,,,4231647,4245992,2743228,9429124,9288498,8414439,1014685,874059,73581,369403,,,48588,140625,889,157613,235092,158376
10073181,株式会社　ゲオディノス,01101_北海道札幌市中央区,L_サービス業,2010,3,225,9964973,549510,367776,219059,148717,87582,96239,9415463,7667170,9964973,7576673,2872734,,,2826086,2388300,2381308,314382,7272626,7098614,6268853,1003772,829761,42178,258072,,,14551,174011,155772,49833,40455,55755
10073181,株式会社　ゲオディノス,01101_北海道札幌市中央区,L_サービス業,2011,3,221,10246168,1095244,878591,767655,110936,101520,115765,9138045,7531449,10246168,7819635,2776492,,,2665823,2426533,2414532,357745,8663734,8363156,1868256,6795478,6494900,,1550668,,,786002,300577,170799,160671,64121,43361
10073181,株式会社　ゲオディノス,01101_北海道札幌市中央区,L_サービス業,2012,3,227,10725583,1244605,932409,795742,136667,96429,216875,9465001,7887330,10725583,8385823,3202642,,100000,2947968,2339760,2310705,253922,8316847,8130565,1717074,6599773,6413491,,1600221,,,763920,186281,190474,23407,-66423,-103822
10089584,株式会社　アークス,01101_北海道札幌市中央区,H_金融・保険業,2010,2,41,51124000,3379000,878000,478000,,,2500000,47744000,842000,51124000,10021000,3433000,,2500000,6500000,41102000,41102000,11947000,2688000,1025000,,2688000,1025000,116000,230000,,,59000,1663000,2030000,1662000,1662000,1521000
10089584,株式会社　アークス,01101_北海道札幌市中央区,H_金融・保険業,2011,2,49,50758000,2967000,646000,245000,,,2320000,47790000,813000,50758000,9518000,9400000,,3000000,,41239000,41239000,12085000,2963000,1015000,,2963000,1015000,117000,263000,,,62000,1948000,2957000,1584000,1584000,1579000
10089584,株式会社　アークス,01101_北海道札幌市中央区,H_金融・保険業,2012,2,52,66859000,2659000,234000,234000,,,2424000,64200000,1122000,66859000,11419000,7038000,,6250000,4000000,55440000,55440000,11527000,3043000,1268000,,3043000,1268000,139000,262000,,,151000,1775000,3440000,1344000,1082000,1078000
10094655,北雄ラッキー　株式会社,01101_北海道札幌市中央区,G_卸・小売業，飲食店,2010,2,539,18893236,4244253,2107995,1815479,292516,1567597,569258,14639120,11435048,18893236,14955865,9787558,,3758710,2920386,3937370,3935086,2879163,45161424,44752595,33367831,11793593,11384764,,2374841,,,523865,408829,195809,301359,285744,119868
10094655,北雄ラッキー　株式会社,01101_北海道札幌市中央区,G_卸・小売業，飲食店,2011,2,528,18729058,3672279,1367231,1101171,266060,1733800,571783,15027738,12000866,18729058,14681019,8724587,,4164049,2743500,4048039,4042412,3049389,44249739,43931949,32594183,11655557,11337766,,2333652,,,528522,317791,201408,202867,275598,222171
10094655,北雄ラッキー　株式会社,01101_北海道札幌市中央区,G_卸・小売業，飲食店,2012,2,518,18846636,3994759,1675589,1429763,245826,1706382,613324,14818221,11893809,18846636,14730659,9049364,,3577662,2715499,4115976,4131567,3138544,44568460,44057843,32703573,11864888,11354270,,2339608,,,498733,510617,192154,408057,352133,152386
10108591,日糧製パン　株式会社,01105_北海道札幌市豊平区,F_製造業,2010,3,682,12424288,3744444,3392700,1356048,1983637,194659,159323,8679843,7988288,12424288,9975141,5580461,692604,1650000,1250900,2449147,62253,-981821,17501495,17281569,13557255,3944239,3724314,45918,1432256,,,56611,219924,73286,190354,173200,163947
10108591,日糧製パン　株式会社,01105_北海道札幌市豊平区,F_製造業,2011,3,695,12232426,3871850,3438590,1432427,2006163,213114,223035,8360576,7698797,12232426,9589387,5409885,709910,1550000,1138700,2643038,287306,-756478,17482011,17240670,13364909,4117102,3875761,67604,1529282,,,58120,241341,64340,205721,172171,186995
10108591,日糧製パン　株式会社,01105_北海道札幌市豊平区,F_製造業,2012,3,693,12466351,4239151,3748936,1583689,2165247,223813,268840,8227200,7641186,12466351,9311901,5406390,725596,1450000,1020900,3154450,614777,-428856,17935067,17563035,13550463,4384603,4012572,79027,1467766,,,63674,372031,55497,342961,341960,327622
10112047,株式会社　ニトリホールディングス,13117_東京都北区,H_金融・保険業,2010,2,2971,213658000,42061000,13006000,4123000,6679000,22422000,6628000,171597000,116321000,213658000,84748000,62233000,,1000000,14900000,128910000,128381000,103840000,283727000,242241000,136474000,147253000,105767000,,24148000,,,6114000,41485000,1437000,42584000,40647000,23920000
10112047,株式会社　ニトリホールディングス,13117_東京都北区,H_金融・保険業,2011,2,122,200171000,7006000,2440000,201000,2239000,,4562000,193165000,127938000,200171000,73122000,61685000,,50495000,5422000,127049000,127409000,117195000,165787000,140975000,83350000,82437000,57625000,,14324000,,,3479000,24811000,1315000,29952000,28163000,16189000
10112047,株式会社　ニトリホールディングス,13117_東京都北区,H_金融・保険業,2012,2,129,201956000,10140000,2584000,327000,2257000,,7552000,191816000,127563000,201956000,61452000,49058000,,42958000,4040000,140503000,139916000,126703000,39920000,27089000,23723000,16196000,3366000,303000,867000,,,218000,12830000,351000,17233000,16950000,13892000
10127282,エア・ウォーター　株式会社,27128_大阪府大阪市中央区,F_製造業,2010,3,1110,249761000,74206000,60430000,4167000,53277000,7415000,7560000,175554000,86023000,249761000,120458000,67048000,2594000,11500000,33232000,129303000,134167000,72383000,213920000,202564000,178919000,35001000,23645000,,6658000,,,2969000,11356000,1970000,14495000,13029000,8531000
10127282,エア・ウォーター　株式会社,27128_大阪府大阪市中央区,F_製造業,2011,3,863,252075000,60982000,47421000,3463000,43346000,5839000,9060000,191092000,92512000,252075000,126901000,57430000,1441000,10000000,36360000,125174000,131005000,71318000,199727000,192047000,175581000,24146000,16466000,,4075000,,,2391000,7680000,2330000,10864000,5880000,3153000
10127282,エア・ウォーター　株式会社,27128_大阪府大阪市中央区,F_製造業,2012,3,831,258066000,61226000,48468000,3824000,43741000,5482000,8659000,196840000,89532000,258066000,128131000,59207000,1706000,12500000,36298000,129935000,138726000,75696000,197181000,191429000,175678000,21502000,15751000,,3850000,,,2387000,5751000,2249000,11218000,12225000,8562000
10132818,北海道電力　株式会社,01101_北海道札幌市中央区,K_電気ガス水道業,2010,3,4726,1536430000,96136000,57497000,30799000,26698000,23461000,15560000,1440294000,1293496000,1536430000,1159278000,219891000,,47500000,187091000,377152000,373696000,247097000,526894000,500041000,415127000,111767000,84914000,600000,18821000,,,3629000,26824000,16034000,13203000,9591000,5379000
10132818,北海道電力　株式会社,01101_北海道札幌市中央区,K_電気ガス水道業,2011,3,4999,1576200000,91979000,44373000,12625000,30675000,29759000,18580000,1484220000,1303935000,1576200000,1210262000,225373000,,48000000,186691000,365937000,363394000,246069000,546080000,507517000,424208000,121872000,83309000,626000,18990000,,,3764000,38553000,16687000,24450000,15169000,9379000
10132818,北海道電力　株式会社,01101_北海道札幌市中央区,K_電気ガス水道業,2012,3,5183,1553474000,116393000,74776000,43474000,31302000,32237000,10120000,1437080000,1302130000,1553474000,1273732000,224755000,,48000000,294725000,279741000,278564000,161240000,615756000,617640000,532579000,83177000,85061000,532000,18599000,,,3827000,-1887000,15851000,-14691000,-19587000,-74544000
10133931,北海電気工事　株式会社,01104_北海道札幌市白石区,E_建設業,2010,3,1356,32512536,17170336,15137951,5182353,,1343725,704448,15342200,6379347,32512536,12894204,8643590,631659,,,19618332,19408784,15376084,51133705,49628757,47885064,3248640,1743693,66516,721930,,,151750,1504947,21806,1744794,1683959,936637
10133931,北海電気工事　株式会社,01104_北海道札幌市白石区,E_建設業,2011,3,1377,32383924,16557947,13716503,3346273,,2177820,676132,15825976,6531471,32383924,12062644,8064167,592813,,,20321280,20064659,16034831,51266698,49881078,48192007,3074691,1689071,66006,720886,,,114838,1385620,10823,1608087,1490833,813285
10133931,北海電気工事　株式会社,01104_北海道札幌市白石区,E_建設業,2012,3,1272,33221680,18071341,15823177,4158941,,1695085,564267,15150338,6679340,33221680,12821009,8692705,675282,,,20400670,20098022,16070735,49123842,48546092,46799299,2324542,1746793,65690,741016,,,107834,577749,13643,820397,743269,190390
10136441,北海道コカ・コーラボトリング　株式会社,01110_北海道札幌市清田区,F_製造業,2010,12,516,43289000,16437000,10248000,6310000,3937000,4108000,2093000,26852000,20671000,43289000,9309000,7219000,,,,33979000,33973000,27012000,56907000,55942000,32764000,24143000,23178000,,3111000,,,2232000,964000,180000,1284000,1244000,1383000
10136441,北海道コカ・コーラボトリング　株式会社,01110_北海道札幌市清田区,F_製造業,2011,12,481,46009000,20382000,14369000,10143000,4225000,3870000,2153000,25627000,21090000,46009000,10205000,9069000,,,,35803000,35793000,28833000,53498000,52679000,34745000,18752000,17934000,,2979000,,,2322000,818000,162000,1140000,2114000,2259000
10136441,北海道コカ・コーラボトリング　株式会社,01110_北海道札幌市清田区,F_製造業,2012,12,454,44453000,17760000,11161000,7116000,4043000,4596000,2017000,26693000,23255000,44453000,8507000,7579000,,,,35945000,35921000,28962000,53003000,53161000,35072000,17930000,18089000,,2836000,,,2316000,-158000,153000,311000,180000,567000
10139050,北海道瓦斯　株式会社,01101_北海道札幌市中央区,K_電気ガス水道業,2010,3,664,99359455,11470685,8643471,3836093,3541925,658275,2677778,86176289,72972628,99359455,75966292,17987128,,,27841100,23393162,23560254,15845453,53385130,49778304,23431239,29953891,26347065,312841,3344327,,1055303,7115682,3606803,2817650,2603603,1742456,955260
10139050,北海道瓦斯　株式会社,01101_北海道札幌市中央区,K_電気ガス水道業,2011,3,666,98452483,8462778,5528498,86552,4325178,403064,3197236,89062738,76088999,98452483,74691538,28644063,,1019540,21694700,23760945,22745695,15038912,56385743,52923872,26675051,29710692,26248821,280899,3696283,,984275,7460531,3461868,1485645,2806231,2004448,952806
10139050,北海道瓦斯　株式会社,01101_北海道札幌市中央区,K_電気ガス水道業,2012,3,665,102507077,10410581,7124918,96074,5678852,385553,3968659,91585201,79128862,102507077,77715473,28839782,,1318887,21144100,24791604,23464288,15761376,60958662,57005245,29573499,31385163,27431746,236838,3699521,,1366631,7873016,3953417,1171862,3320435,2541501,1386345
10143698,株式会社　フジトミ,13104_東京都新宿区,H_金融・保険業,2010,3,106,7991881,5501759,2995739,2843626,2113,65200,2441468,2490121,913714,7991881,2840394,2446749,,,,5151486,5082150,3569310,637556,1319637,,637556,1319637,,776027,,,51353,-682080,18746,-312704,-277022,-281861
10143698,株式会社　フジトミ,13102_東京都中央区,H_金融・保険業,2011,3,94,6027000,4150586,2054766,1873309,11457,74276,2027854,1876413,636491,6027000,2263095,2061369,,,,3763905,3719602,2246276,698664,1380714,9554,689109,1371160,,768804,,,50563,-682051,118,-650049,-1283895,-1288734
10143698,株式会社　フジトミ,13102_東京都中央区,H_金融・保険業,2012,3,89,5293207,4019337,1893787,1712739,11048,268460,1863020,1273869,539821,5293207,2100769,1905235,,,,3192437,3154816,1681489,873119,1170135,43310,829809,1126825,,640278,,,32261,-297016,1829,-283102,-540073,-544912
10172180,株式会社　トーモク,13101_東京都千代田区,F_製造業,2010,3,943,72114000,32235000,25288000,6259000,13859000,2682000,4306000,39878000,27256000,72114000,38556000,9822000,86000,10000,25900000,33557000,32786000,8680000,68859000,64769000,55912000,12946000,8857000,241000,1659000,,,265000,4089000,756000,4044000,3850000,2214000
10172180,株式会社　トーモク,13101_東京都千代田区,F_製造業,2011,3,954,75122000,33509000,26302000,7210000,13916000,2668000,4691000,41612000,29077000,75122000,39771000,17359000,100000,10000,20100000,35351000,34807000,10706000,68643000,63901000,55110000,13533000,8791000,250000,1589000,,,262000,4742000,697000,4838000,4126000,2586000
10172180,株式会社　トーモク,13101_東京都千代田区,F_製造業,2012,3,974,76196000,34379000,26100000,5603000,15448000,2861000,5439000,41816000,27315000,76196000,38635000,22458000,98000,10000,13900000,37560000,37076000,12976000,68139000,64112000,55299000,12840000,8813000,260000,1564000,,,292000,4027000,593000,4374000,4555000,2831000
10185295,中道リース　株式会社,01101_北海道札幌市中央区,L_サービス業,2010,1,126,81378629,66793332,64564063,6222061,57885285,132244,2770970,14522705,11144511,81378629,74220249,30137016,513945,3970000,30303954,7158381,7114957,2898841,30903446,30591172,28298373,2605072,2292799,85603,664728,,,45801,312274,40948,305070,1589737,1008999
10185295,中道リース　株式会社,01101_北海道札幌市中央区,L_サービス業,2011,12,127,84230256,68848498,66193309,9078252,55328817,61352,2972496,15330812,12461133,84230256,77653943,34767108,1390948,5065800,32606601,6576312,6580473,2365073,29843417,29276763,27527871,2315546,1748892,52640,749775,,,54653,566654,26946,569108,374731,143091
10185295,中道リース　株式会社,01101_北海道札幌市中央区,L_サービス業,2012,12,130,90499396,73972090,72421679,10287989,60449488,45623,1736329,16457425,13498729,90499396,83825238,34469457,1020127,6753100,37941219,6674158,6593057,2377556,31237190,30774205,28906621,2330568,1867584,55030,781152,,,52394,462985,23034,495034,422006,201801
10188368,札幌臨床検査センター　株式会社,01101_北海道札幌市中央区,G_卸・小売業，飲食店,2010,3,638,6763815,4023178,3513934,1410501,2082132,430054,171476,2740636,1773541,6763815,2578543,2153233,,242145,70619,4185271,4180427,2210362,13225175,12805622,9118815,4106359,3686807,103200,1832946,,,161731,419552,31660,458180,452295,226184
10188368,札幌臨床検査センター　株式会社,01101_北海道札幌市中央区,G_卸・小売業，飲食店,2011,3,656,6976244,4268810,3638588,1476709,2140369,542511,144824,2707433,1848575,6976244,2454333,2112441,,252827,37485,4521910,4523297,2624488,13628261,13040241,9283239,4345022,3757002,104700,1826106,,,180211,588019,45910,637234,804994,455582
10188368,札幌臨床検査センター　株式会社,01101_北海道札幌市中央区,G_卸・小売業，飲食店,2012,3,663,7500481,4849493,4391924,2108630,2254437,370761,143443,2650988,1898651,7500481,2652104,2353471,,249793,12481,4848377,4861106,2962297,14299305,13590413,9778403,4520901,3812010,99700,1851418,,,149304,708890,49906,747905,718310,381584
10224240,総合商研　株式会社,01103_北海道札幌市東区,F_製造業,2010,7,386,6069055,3044077,2586489,1151521,1367602,293976,197021,3024978,2126398,6069055,4345567,2560990,644961,200000,1306383,1723488,1706656,854726,11829600,11747356,8644205,3185395,3103151,,1196105,,52954,153344,82243,63337,85500,14797,-9501
10224240,総合商研　株式会社,01103_北海道札幌市東区,F_製造業,2011,7,407,6664864,3404304,3029071,1594311,1364823,308146,94046,3260560,2291418,6664864,5025306,2460024,662296,,2025617,1639558,1577950,747225,11900490,11881970,8709726,3190764,3172244,,1258365,,40047,123700,18519,54750,33875,-34791,-61636
10224240,総合商研　株式会社,01103_北海道札幌市東区,F_製造業,2012,7,422,6965531,3121569,2525292,1111550,1337262,495191,126858,3843962,2688014,6965531,5274270,2787466,561359,300000,1875763,1691261,1583486,759539,13642333,13506280,9768966,3873367,3737314,,1352431,,88884,142222,136053,72058,169099,138769,56825
10252164,株式会社　土屋ホールディングス,01102_北海道札幌市北区,H_金融・保険業,2010,10,29,11789360,2539255,2239887,2239887,,,299367,9250104,7138006,11789360,226995,90279,,,,11562364,11644603,159090,935773,803568,,935773,803568,67500,124523,,,181119,132204,32675,170645,137908,135488
10252164,株式会社　土屋ホールディングス,01102_北海道札幌市北区,H_金融・保険業,2011,10,26,11882730,2857140,2306014,2306014,,196,550928,9025590,7005011,11882730,295134,70066,,,,11587595,11740833,255328,981339,848788,,981339,848788,88720,121955,,,175721,132551,13337,168453,149696,147276
10252164,株式会社　土屋ホールディングス,01102_北海道札幌市北区,H_金融・保険業,2012,10,23,12043318,3137426,2882013,2882013,,2169,253243,8905892,6913916,12043318,396975,107377,,,,11646343,11880035,394531,1001761,837372,,1001761,837372,73710,104826,,,170241,164388,7277,200241,167142,164722
10253125,株式会社　アインファーマシーズ,01103_北海道札幌市東区,G_卸・小売業，飲食店,2010,4,1326,52545042,16990185,9864112,6087954,3776158,4173169,2954901,35540813,6184102,52545042,36690202,27731099,,9540000,7952200,15854839,16086444,4283983,60362546,58531416,51667948,8694598,6863468,164006,1792412,,,289928,1831129,468587,2173235,2005334,965339
10253125,株式会社　アインファーマシーズ,01103_北海道札幌市東区,G_卸・小売業，飲食店,2011,4,1404,60117218,22119561,14817767,10284319,4533448,4740182,2564609,37967075,6736065,60117218,38661901,30734921,,12138765,6547743,21455316,21782938,5231909,63273720,60706259,53329206,9944514,7377053,146419,1953502,,,332209,2567460,453903,3033164,2799111,1511972
10253125,株式会社　アインファーマシーズ,01103_北海道札幌市東区,G_卸・小売業，飲食店,2012,4,1574,68455113,24903097,15563026,10991324,4571702,4872106,4470960,43537120,7871561,68455113,44915825,37580198,,15427930,5643045,23539288,23819408,7269089,70786510,67095243,59104352,11682158,7990891,139031,2013386,,,345263,3691266,268578,4379333,4550035,2754524
10258177,株式会社　インサイト,01101_北海道札幌市中央区,L_サービス業,2010,6,34,651313,494824,474860,273309,187050,5515,19846,156488,19193,651313,263851,263851,117867,,,387462,388349,207349,1583289,1546272,1244454,338835,301818,47470,99172,3377,,6796,37017,274,40714,40714,21870
10258177,株式会社　インサイト,01101_北海道札幌市中央区,L_サービス業,2011,6,34,698522,575510,504042,288738,210801,11781,63482,123012,15333,698522,267614,267614,84070,,,430907,431607,250607,1794198,1737027,1422364,371834,314663,46920,112276,3750,,7251,57171,157,90664,95384,53657
10258177,株式会社　インサイト,01101_北海道札幌市中央区,L_サービス業,2012,6,34,650536,443796,369358,198737,160045,7549,68985,206739,11210,650536,218977,218977,80203,,,431558,432326,251326,1587814,1576721,1277584,310229,299137,37434,119587,2900,,6545,11091,2402,30028,27028,13719
10272855,株式会社　進学会,01104_北海道札幌市白石区,L_サービス業,2010,3,306,23441227,6384587,6041748,5030073,,25094,318998,17056640,7541956,23441227,1656244,1296902,,,,21784983,21641222,14358530,6389089,5819479,4592023,1797066,1227456,52958,236176,,,,569609,5244,1389909,903993,204076
10272855,株式会社　進学会,01104_北海道札幌市白石区,L_サービス業,2011,3,303,23169180,7058261,6775693,5656190,,30407,253287,16110919,7402868,23169180,1721873,1142501,,,,21447306,21529857,14247203,6507720,5888129,4673727,1833993,1214402,53355,217083,,,,619591,388564,380417,164235,-11424
10272855,株式会社　進学会,01104_北海道札幌市白石区,L_サービス業,2012,3,313,23245935,5002480,4731372,4170631,,35220,237179,18243454,7125255,23245935,1726193,1163212,,,,21519742,21460289,14177657,6382342,5768434,4593713,1788628,1174721,54037,189375,,,,613907,6992,855995,469577,130257
10287750,イオン北海道　株式会社,01104_北海道札幌市白石区,G_卸・小売業，飲食店,2010,2,1390,92462000,24586000,8191000,5644000,2462000,12502000,3892000,67876000,49626000,92462000,76970000,46719000,1707000,11400000,19723000,15491000,15507000,-2293000,166197000,163655000,111184000,55014000,52471000,,16865000,,,3213000,2543000,1139000,2023000,1715000,953000
10287750,イオン北海道　株式会社,01104_北海道札幌市白石区,G_卸・小売業，飲食店,2011,2,1312,90020000,24923000,5861000,5225000,555000,11431000,7632000,65097000,49775000,90020000,72694000,46699000,1476000,11000000,16115000,17326000,17307000,-518000,166214000,161434000,110576000,55639000,50858000,,16500000,,,3027000,4781000,917000,4235000,2371000,1787000
10287750,イオン北海道　株式会社,01104_北海道札幌市白石区,G_卸・小売業，飲食店,2012,2,1247,89640000,20740000,3312000,2746000,553000,11443000,5987000,68900000,55384000,89640000,69953000,43246000,2830000,8800000,16355000,19687000,19721000,1877000,167272000,159622000,110304000,56969000,49318000,,16399000,,,3119000,7650000,803000,7063000,5177000,2403000
10307791,日本調剤　株式会社,13101_東京都千代田区,G_卸・小売業，飲食店,2010,3,1625,62051137,25514081,16590778,6680088,9910690,2263334,6668932,36537056,15014828,62051137,48924343,27439497,,,20771708,13126794,13208823,6943374,90760497,87379199,77871978,12888518,9507221,490050,1360413,,,344532,3381296,670028,2939045,1858832,546168
10307791,日本調剤　株式会社,13101_東京都千代田区,G_卸・小売業，飲食店,2011,3,1816,67951559,26591694,15331396,6156225,9175171,4691718,6577722,41359864,15274306,67951559,54148376,32894633,,,20089281,13803183,13879513,7637219,101504730,97180007,86436462,15068268,10743545,520560,1492821,,,549724,4324722,636810,3923448,2898281,1122724
10307791,日本調剤　株式会社,13101_東京都千代田区,G_卸・小売業，飲食店,2012,3,2040,80854000,32370000,22819000,11942000,10877000,3537000,6021000,48484000,21200000,80854000,65384000,30386000,,,19610000,15470000,15316000,8987000,116790000,111971000,99298000,17491000,12673000,590000,1725000,,,778000,4817000,1655000,3451000,3939000,1816000
10405325,ウェルネット　株式会社,13101_東京都千代田区,L_サービス業,2010,6,76,14871664,12511687,12356800,10741800,1615000,4773,150112,2359977,725666,14871664,8077813,7999333,,,70000,6793851,6793851,3880017,30297781,29700677,28843727,1454053,856950,143658,252417,,,24040,597102,109716,546230,3300350,2591989
10405325,ウェルネット　株式会社,13101_東京都千代田区,L_サービス業,2011,6,72,15910219,13986839,13885589,8283646,1962796,6690,94556,1923380,637320,15910219,8971622,8702809,,,50000,6938597,6938597,4024763,5828554,5053494,4056134,1772419,997360,152016,245592,,,28872,775059,1159,849197,620029,365513
10405325,ウェルネット　株式会社,13101_東京都千代田区,L_サービス業,2012,6,70,17387123,14567571,14448142,8911309,434678,5376,114049,2819551,578985,17387123,9867243,9613205,,,30000,7519879,7506862,4593028,6254990,5056956,4070221,2184769,986735,149651,241303,,,40263,1198034,1029,1278899,1259659,728823
10443602,キヤリアバンク　株式会社,01101_北海道札幌市中央区,L_サービス業,2010,5,226,1203496,885518,867647,509058,357589,,18800,317978,13021,1203496,791013,506054,,,280961,412482,410646,119283,3669711,3597676,2901125,768586,696551,41663,377069,,,3649,72035,32976,68262,72126,40722
10443602,キヤリアバンク　株式会社,01101_北海道札幌市中央区,L_サービス業,2011,5,274,1195224,855092,835434,435916,399518,,20835,340132,11599,1195224,742829,602550,,,136581,452394,449455,158093,4107318,3998380,3256834,850484,741546,46820,379848,,,3135,108937,33213,107588,93566,46454
10443602,キヤリアバンク　株式会社,01101_北海道札幌市中央区,L_サービス業,2012,5,239,1217532,852872,834532,438753,395779,,20390,364659,20491,1217532,722036,660241,,200000,55529,495496,483006,191643,4442007,4354811,3637105,804901,717706,54800,366583,,,5540,87195,29983,86340,78201,42150
10455167,株式会社　光ハイツ・ヴェラス,01101_北海道札幌市中央区,L_サービス業,2010,3,230,10333402,439736,402822,179513,,1035,38073,9893666,9700794,10333402,9437056,2367622,,660976,507820,896345,896114,-356478,2825589,2198621,1925096,900492,273525,14663,88545,,4220,2705,626967,145012,514654,519335,327916
10455167,株式会社　光ハイツ・ヴェラス,01101_北海道札幌市中央区,L_サービス業,2011,3,250,10629336,466671,421885,171910,,1000,45979,10162664,9956212,10629336,9411011,1756075,,220000,1633138,1218324,1218160,-34432,2874871,2138646,1894130,980741,244516,12689,84976,,4396,3343,736225,152578,610835,616333,322046
10455167,株式会社　光ハイツ・ヴェラス,01101_北海道札幌市中央区,L_サービス業,2012,3,260,10340305,535320,467460,176653,,1026,106439,9804985,9626250,10340305,8902955,1808277,,285301,1442486,1437349,1436985,184392,3213246,2448985,2169566,1043680,279419,22205,72355,,4920,11023,764261,141570,646126,609909,218824
10503854,マックスバリュ北海道　株式会社,01101_北海道札幌市中央区,G_卸・小売業，飲食店,2010,1,759,27040904,8425199,2678329,2107419,570910,1991657,3791014,18615704,10031899,27040904,20775953,14252569,47074,,5017174,6264951,6291812,4105270,76593953,76182676,57454984,19138970,18727692,78203,7263576,,,1041514,411278,101029,435935,-220842,-379111
10503854,マックスバリュ北海道　株式会社,01101_北海道札幌市中央区,G_卸・小売業，飲食店,2011,1,736,25147559,7976079,2006197,1794441,211756,2064169,3942779,17171479,9081436,25147559,18655464,12279913,25226,,5247406,6492095,6486287,4297693,77518027,77035780,58146125,19371903,18889655,73386,7562025,,,953237,482248,98510,477497,-182166,192739
10503854,マックスバリュ北海道　株式会社,01101_北海道札幌市中央区,G_卸・小売業，飲食店,2012,1,713,23468258,7173180,1280611,1056181,224430,2097807,3824845,16295077,8873729,23468258,16889585,12193975,26049,,3154288,6578673,6589434,4400841,80739266,79880930,60956083,19783184,18924847,78129,7812358,,,866155,858336,83643,860755,533310,103147
10515541,ソフトブレーン　株式会社,13102_東京都中央区,L_サービス業,2010,12,81,1408845,762928,574718,394899,174844,25722,162485,645917,58994,1408845,519469,519469,,170000,,889376,889376,-290136,1782817,1568618,913210,869607,655408,64551,177357,12578,33345,23484,214199,7448,211648,184428,233229
10515541,ソフトブレーン　株式会社,13102_東京都中央区,L_サービス業,2011,12,86,1524559,925843,773173,536892,225557,3085,149581,598716,51058,1524559,423219,423219,,100000,,1101339,1101339,-78173,1723544,1504138,861460,862084,642678,55680,194704,7699,36142,27096,219405,1915,224224,220328,211963
10515541,ソフトブレーン　株式会社,13102_東京都中央区,L_サービス業,2012,12,99,2041295,1290072,1104353,799323,299866,15202,170654,751223,76317,2041295,536075,536075,,100000,,1505220,1505220,325707,2015481,1695369,954451,1061029,740918,50367,196743,15889,38530,18088,320111,1258,323409,389685,403880
